Name,difficulty,地面火力,海战火力,防空火力,制空火力,损失,奖励,特殊能力,名言,,,,,,,,,,
火力侦查,Easy,0,5,0,0,1,3补给,,让我瞧瞧,,,,,,,,,,
菲律宾海,easy,0,4,3,2,2,3补给,,I shall return,,,,,,,,,,
珍珠港,easy,0,4,5,5,3,获得卡牌前进基地,,战列舰时代的终结,,,,,,,,,,
达尔文港,Easy,3,3,2,2,1,3补给,,澳大利亚的最后防线,,,,,,,,,,
塞班岛,Normal,6,3,1,2,2,获得卡牌前线工厂,,“万岁角”的绝望抵抗,,,,,,,,,,
莱特湾,normal,3,8,0,0,4,获得卡牌大和号,诱饵：空军无法参战,最后的战舰决战,,,,,,,,,,
婆罗洲,normal,2,4,4,4,3,8补给,,石油！石油！,,,,,,,,,,
瓜岛,normal,6,0,0,0,2,获得卡牌陆地机场,夜战：空军无法参战，海军的陆战火力-1,东京快车的终点站,,,,,,,,,,
中途岛,Hard,0,12,8,6,2,获得卡牌企业号,,敌机直上，急降下！,,,,,,,,,,
珊瑚海,Hard,0,6,10,8,2,6补给,超距：海军海战火力=0,第一次航母对决,,,,,,,,,,
铁底湾,Hard,0,8,0,0,6,6补给,夜战：空军无法参战，海军的陆战火力-1,英雄葬身之地,,,,,,,,,,
圣克鲁斯群岛,Hard,0,8,10,8,4,获得卡牌雷达站,,日本海航最后的骄傲,,,,,,,,,,
硫磺岛,Hell,10,0,0,0,6,获得卡牌陆地机场+前进基地,地道：空军无法参战,父辈的旗帜！,,,,,,,,,,
冲绳,Hell,12,12,4,0,6,获得卡牌武藏号,,钢铁风暴,,,,,,,,,,
东京,Final,16,12,8,8,10,,,最终决战,,,,,,,,,,
